Date,RSI_Slope
2004-03-01,
2004-03-02,
2004-03-03,
2004-03-04,
2004-03-05,
2004-03-08,9.51846098019952
2004-03-09,-0.7512386077134331
2004-03-10,-8.700623325950795
2004-03-11,-9.82651928897119
2004-03-12,-2.1778790127091625
2004-03-15,0.7228693337224726
2004-03-16,3.4300091522336147
2004-03-17,4.8827670933843805
2004-03-18,2.933989902865301
2004-03-19,2.65145149544216
2004-03-22,0.10937453025798619
2004-03-23,-1.976753793307985
2004-03-24,-2.1788208326524767
2004-03-25,0.06869866094547206
2004-03-26,1.7825164310235835
2004-03-29,4.053843324788914
2004-03-30,5.959706114518891
2004-03-31,6.236971838769085
2004-04-01,5.158920483997964
2004-04-02,5.063994210409686
2004-04-05,4.321255398382504
2004-04-06,2.133740247304774
2004-04-07,0.1859231006473067
2004-04-08,-1.2704329744471488
2004-04-12,2.6361450274287535
2004-04-13,3.2770818029899824
2004-04-14,2.351217792776727
2004-04-15,-1.7146135102466786
2004-04-16,-3.323182149518987
2004-04-19,-2.111499519274146
2004-04-20,-5.2085590124520404
2004-04-21,-4.831659852791479
2004-04-22,-3.4358255751680136
2004-04-23,-1.0790516787448383
2004-04-26,-0.5972836291558402
2004-04-27,-2.148887406326306
2004-04-28,-3.187839246238905
2004-04-29,-2.4521997202898937
2004-04-30,-2.6415573947967648
2004-05-03,-0.9732289898279305
2004-05-04,1.657964554029659
2004-05-05,3.1613426915900904
2004-05-06,1.8976955735374106
2004-05-07,-2.5799729650008696
2004-05-10,-3.248293388287868
2004-05-11,-2.265836960775047
2004-05-12,-1.9912144488570604
2004-05-13,-2.0037128960008688
2004-05-14,-2.327895865842213
2004-05-17,-2.6311335162625555
2004-05-18,0.6939149265922382
2004-05-19,2.13004612212452
2004-05-20,3.2466562244902324
2004-05-21,2.687562341566914
2004-05-24,0.01041665948576025
2004-05-25,1.4826474785433064
2004-05-26,3.41486603917752
2004-05-27,7.592284057957713
2004-05-28,10.001088609303238
2004-06-01,7.657102029924741
2004-06-02,5.109308755422436
2004-06-03,-0.1760359995659968
2004-06-04,-2.058698619789196
2004-06-07,2.272267159130924
2004-06-08,4.352390567876334
2004-06-09,3.8709739769700606
2004-06-10,0.9388230304951265
2004-06-14,-4.272788045354432
2004-06-15,-3.952996356087806
2004-06-16,-3.5862583795170537
2004-06-17,-3.8430375615702554
